frame,fp8_diverged,fp8_text_l2,fp8_text_maxabs,fp8_audio_l2,fp8_audio_maxabs,fp8_rms,fp8_click,fp8_centroid_hz,fp8_flatness,w8a16_diverged,w8a16_text_l2,w8a16_text_maxabs,w8a16_audio_l2,w8a16_audio_maxabs,w8a16_rms,w8a16_click,w8a16_centroid_hz,w8a16_flatness
227,1,,,,,0.00022,0.00000,3.6,0.00004,1,,,,,0.00022,0.00001,3.7,0.00004
228,1,,,,,0.00022,0.00000,3.7,0.00004,1,,,,,0.00022,0.00001,3.9,0.00004
229,1,,,,,0.00022,0.00000,3.6,0.00004,1,,,,,0.00022,0.00001,3.9,0.00004
230,1,,,,,0.00022,0.00001,3.8,0.00004,1,,,,,0.00022,0.00000,3.9,0.00004
231,1,,,,,0.00022,0.00001,3.7,0.00004,1,,,,,0.00022,0.00000,3.9,0.00004
232,1,,,,,0.00022,0.00000,3.6,0.00004,1,,,,,0.00022,0.00000,3.9,0.00005
233,1,,,,,0.00022,0.00000,3.7,0.00004,1,,,,,0.00022,0.00000,3.9,0.00004
234,1,,,,,0.00022,0.00000,3.7,0.00004,1,,,,,0.00022,0.00000,3.9,0.00005
235,1,,,,,0.00022,0.00000,3.6,0.00004,1,,,,,0.00022,0.00000,3.9,0.00004
236,1,,,,,0.00022,0.00000,3.6,0.00004,1,,,,,0.00022,0.00001,3.8,0.00004
237,1,,,,,0.00022,0.00000,3.5,0.00004,1,,,,,0.00022,0.00001,3.8,0.00004
238,1,,,,,0.00022,0.00000,3.6,0.00004,1,,,,,0.00022,0.00000,3.9,0.00005
239,1,,,,,0.00022,0.00000,3.5,0.00004,1,,,,,0.00022,0.00001,3.9,0.00004
240,1,,,,,0.00022,0.00000,3.6,0.00004,1,,,,,0.00022,0.00000,3.9,0.00004
241,1,,,,,0.00022,0.00000,3.5,0.00004,1,,,,,0.00022,0.00001,3.8,0.00004
242,1,,,,,0.00022,0.00000,3.5,0.00004,1,,,,,0.00022,0.00000,3.8,0.00004
243,1,,,,,0.00022,0.00000,3.5,0.00004,1,,,,,0.00022,0.00000,3.8,0.00004
244,1,,,,,0.00022,0.00000,3.6,0.00004,1,,,,,0.00022,0.00000,3.8,0.00004
245,1,,,,,0.00022,0.00000,3.5,0.00004,1,,,,,0.00022,0.00000,3.7,0.00004
246,1,,,,,0.00022,0.00000,3.5,0.00004,1,,,,,0.00022,0.00000,3.7,0.00004
247,1,,,,,0.00022,0.00000,3.6,0.00004,1,,,,,0.00022,0.00000,3.7,0.00004
